"Sex (Male, Female)","Race recode (All, Black)","Age recode (50-54, 60-64, 70-74)","Site recode ICD-O-3/WHO 2008 (Liu et al groupings)","Crude Rate","Standard Error","Lower Confidence Interval","Upper Confidence Interval","Count","Population"
"Male","All","50-54 years","Lip",0.0,0.0,0.0,0.0,24,465036296
"Male","All","50-54 years","Tongue",0.1,0.0,0.1,0.1,320,465036296
"Male","All","50-54 years","Salivary Gland",0.0,0.0,0.0,0.0,53,465036296
"Male","All","50-54 years","Floor of Mouth",0.0,0.0,0.0,0.0,104,465036296
"Male","All","50-54 years","Gum and Other Mouth",0.0,0.0,0.0,0.0,120,465036296
"Male","All","50-54 years","Nasopharynx",0.0,0.0,0.0,0.0,78,465036296
"Male","All","50-54 years","Tonsil",0.0,0.0,0.0,0.0,202,465036296
"Male","All","50-54 years","Oropharynx",0.0,0.0,0.0,0.0,53,465036296
"Male","All","50-54 years","Hypopharynx",0.0,0.0,0.0,0.0,100,465036296
"Male","All","50-54 years","Other Oral Cavity and Pharynx",0.0,0.0,0.0,0.0,34,465036296
"Male","All","50-54 years","Esophagus",0.1,0.0,0.1,0.1,571,465036296
"Male","All","50-54 years","Stomach",0.1,0.0,0.1,0.1,552,465036296
"Male","All","50-54 years","Small Intestine",0.0,0.0,0.0,0.0,89,465036296
"Male","All","50-54 years","Colon and Rectum",0.4,0.0,0.4,0.4,1792,465036296
"Male","All","50-54 years","Anus, Anal Canal and Anorectum",0.0,0.0,0.0,0.0,73,465036296
"Male","All","50-54 years","Liver",0.2,0.0,0.2,0.2,924,465036296
"Male","All","50-54 years","Intrahepatic Bile Duct",0.0,0.0,0.0,0.0,43,465036296
"Male","All","50-54 years","Gallbladder",0.0,0.0,0.0,0.0,22,465036296
"Male","All","50-54 years","Other Biliary",0.0,0.0,0.0,0.0,74,465036296
"Male","All","50-54 years","Pancreas",0.2,0.0,0.2,0.2,824,465036296
"Male","All","50-54 years","Retroperitoneum",0.0,0.0,0.0,0.0,23,465036296
"Male","All","50-54 years","Peritoneum, Omentum and Mesentery",0.0,0.0,0.0,0.0,3,465036296
"Male","All","50-54 years","Other Digestive Organs",0.0,0.0,0.0,0.0,35,465036296
"Male","All","50-54 years","Nose, Nasal Cavity and Middle Ear",0.0,0.0,0.0,0.0,57,465036296
"Male","All","50-54 years","Larynx",0.1,0.0,0.1,0.1,350,465036296
"Male","All","50-54 years","Lung and Bronchus",0.8,0.0,0.8,0.9,3833,465036296
"Male","All","50-54 years","Pleura",0.0,0.0,0.0,0.0,3,465036296
"Male","All","50-54 years","Trachea, Mediastinum and Other Respiratory Organs",0.0,0.0,0.0,0.0,11,465036296
"Male","All","50-54 years","Bones and Joints",0.0,0.0,0.0,0.0,26,465036296
"Male","All","50-54 years","Soft Tissue including Heart",0.0,0.0,0.0,0.0,110,465036296
"Male","All","50-54 years","Melanoma of the Skin",0.1,0.0,0.1,0.1,496,465036296
"Male","All","50-54 years","Other Non-Epithelial Skin",0.0,0.0,0.0,0.0,21,465036296
"Male","All","50-54 years","Breast",0.0,0.0,0.0,0.0,26,465036296
"Male","All","50-54 years","Cervix Uteri",0.0,NA,0.0,0.0,0,465036296
"Male","All","50-54 years","Corpus Uteri",0.0,NA,0.0,0.0,0,465036296
"Male","All","50-54 years","Uterus, NOS",0.0,NA,0.0,0.0,0,465036296
"Male","All","50-54 years","Ovary",0.0,NA,0.0,0.0,0,465036296
"Male","All","50-54 years","Vagina",0.0,NA,0.0,0.0,0,465036296
"Male","All","50-54 years","Vulva",0.0,NA,0.0,0.0,0,465036296
"Male","All","50-54 years","Other Female Genital Organs",0.0,NA,0.0,0.0,0,465036296
"Male","All","50-54 years","Prostate",0.3,0.0,0.3,0.3,1247,465036296
"Male","All","50-54 years","Testis",0.0,0.0,0.0,0.0,44,465036296
"Male","All","50-54 years","Penis",0.0,0.0,0.0,0.0,29,465036296
"Male","All","50-54 years","Other Male Genital Organs",0.0,0.0,0.0,0.0,6,465036296
"Male","All","50-54 years","Urinary Bladder",0.1,0.0,0.1,0.1,440,465036296
"Male","All","50-54 years","Kidney and Renal Pelvis",0.2,0.0,0.1,0.2,734,465036296
"Male","All","50-54 years","Ureter",0.0,0.0,0.0,0.0,10,465036296
"Male","All","50-54 years","Other Urinary Organs",0.0,0.0,0.0,0.0,11,465036296
"Male","All","50-54 years","Eye and Orbit",0.0,0.0,0.0,0.0,37,465036296
"Male","All","50-54 years","Brain and Other Nervous System",0.1,0.0,0.1,0.1,532,465036296
"Male","All","50-54 years","Thyroid",0.0,0.0,0.0,0.0,76,465036296
"Male","All","50-54 years","Other Endocrine including Thymus",0.0,0.0,0.0,0.0,30,465036296
"Male","All","50-54 years","Lymphoma",0.2,0.0,0.2,0.2,880,465036296
"Male","All","50-54 years","Myeloma",0.1,0.0,0.1,0.1,367,465036296
"Male","All","50-54 years","Leukemia",0.1,0.0,0.1,0.1,494,465036296
"Male","All","50-54 years","Mesothelioma",0.0,0.0,0.0,0.0,55,465036296
"Male","All","50-54 years","Kaposi Sarcoma",0.0,0.0,0.0,0.0,50,465036296
"Male","All","60-64 years","Lip",0.0,0.0,0.0,0.0,40,465036296
"Male","All","60-64 years","Tongue",0.1,0.0,0.1,0.1,335,465036296
"Male","All","60-64 years","Salivary Gland",0.0,0.0,0.0,0.0,84,465036296
"Male","All","60-64 years","Floor of Mouth",0.0,0.0,0.0,0.0,128,465036296
"Male","All","60-64 years","Gum and Other Mouth",0.0,0.0,0.0,0.0,156,465036296
"Male","All","60-64 years","Nasopharynx",0.0,0.0,0.0,0.0,78,465036296
"Male","All","60-64 years","Tonsil",0.0,0.0,0.0,0.0,180,465036296
"Male","All","60-64 years","Oropharynx",0.0,0.0,0.0,0.0,62,465036296
"Male","All","60-64 years","Hypopharynx",0.0,0.0,0.0,0.0,137,465036296
"Male","All","60-64 years","Other Oral Cavity and Pharynx",0.0,0.0,0.0,0.0,47,465036296
"Male","All","60-64 years","Esophagus",0.2,0.0,0.2,0.2,798,465036296
"Male","All","60-64 years","Stomach",0.2,0.0,0.2,0.2,912,465036296
"Male","All","60-64 years","Small Intestine",0.0,0.0,0.0,0.0,127,465036296
"Male","All","60-64 years","Colon and Rectum",0.7,0.0,0.6,0.7,3116,465036296
"Male","All","60-64 years","Anus, Anal Canal and Anorectum",0.0,0.0,0.0,0.0,71,465036296
"Male","All","60-64 years","Liver",0.2,0.0,0.2,0.2,811,465036296
"Male","All","60-64 years","Intrahepatic Bile Duct",0.0,0.0,0.0,0.0,65,465036296
"Male","All","60-64 years","Gallbladder",0.0,0.0,0.0,0.0,57,465036296
"Male","All","60-64 years","Other Biliary",0.0,0.0,0.0,0.0,142,465036296
"Male","All","60-64 years","Pancreas",0.3,0.0,0.3,0.3,1233,465036296
"Male","All","60-64 years","Retroperitoneum",0.0,0.0,0.0,0.0,25,465036296
"Male","All","60-64 years","Peritoneum, Omentum and Mesentery",0.0,0.0,0.0,0.0,8,465036296
"Male","All","60-64 years","Other Digestive Organs",0.0,0.0,0.0,0.0,38,465036296
"Male","All","60-64 years","Nose, Nasal Cavity and Middle Ear",0.0,0.0,0.0,0.0,56,465036296
"Male","All","60-64 years","Larynx",0.1,0.0,0.1,0.1,600,465036296
"Male","All","60-64 years","Lung and Bronchus",1.8,0.0,1.8,1.9,8559,465036296
"Male","All","60-64 years","Pleura",0.0,0.0,0.0,0.0,2,465036296
"Male","All","60-64 years","Trachea, Mediastinum and Other Respiratory Organs",0.0,0.0,0.0,0.0,11,465036296
"Male","All","60-64 years","Bones and Joints",0.0,0.0,0.0,0.0,30,465036296
"Male","All","60-64 years","Soft Tissue including Heart",0.0,0.0,0.0,0.0,139,465036296
"Male","All","60-64 years","Melanoma of the Skin",0.1,0.0,0.1,0.2,653,465036296
"Male","All","60-64 years","Other Non-Epithelial Skin",0.0,0.0,0.0,0.0,45,465036296
"Male","All","60-64 years","Breast",0.0,0.0,0.0,0.0,46,465036296
"Male","All","60-64 years","Cervix Uteri",0.0,NA,0.0,0.0,0,465036296
"Male","All","60-64 years","Corpus Uteri",0.0,NA,0.0,0.0,0,465036296
"Male","All","60-64 years","Uterus, NOS",0.0,NA,0.0,0.0,0,465036296
"Male","All","60-64 years","Ovary",0.0,NA,0.0,0.0,0,465036296
"Male","All","60-64 years","Vagina",0.0,NA,0.0,0.0,0,465036296
"Male","All","60-64 years","Vulva",0.0,NA,0.0,0.0,0,465036296
"Male","All","60-64 years","Other Female Genital Organs",0.0,NA,0.0,0.0,0,465036296
"Male","All","60-64 years","Prostate",1.1,0.0,1.0,1.1,4986,465036296
"Male","All","60-64 years","Testis",0.0,0.0,0.0,0.0,24,465036296
"Male","All","60-64 years","Penis",0.0,0.0,0.0,0.0,43,465036296
"Male","All","60-64 years","Other Male Genital Organs",0.0,0.0,0.0,0.0,4,465036296
"Male","All","60-64 years","Urinary Bladder",0.3,0.0,0.3,0.3,1319,465036296
"Male","All","60-64 years","Kidney and Renal Pelvis",0.2,0.0,0.2,0.2,1049,465036296
"Male","All","60-64 years","Ureter",0.0,0.0,0.0,0.0,35,465036296
"Male","All","60-64 years","Other Urinary Organs",0.0,0.0,0.0,0.0,20,465036296
"Male","All","60-64 years","Eye and Orbit",0.0,0.0,0.0,0.0,40,465036296
"Male","All","60-64 years","Brain and Other Nervous System",0.1,0.0,0.1,0.1,591,465036296
"Male","All","60-64 years","Thyroid",0.0,0.0,0.0,0.0,118,465036296
"Male","All","60-64 years","Other Endocrine including Thymus",0.0,0.0,0.0,0.0,44,465036296
"Male","All","60-64 years","Lymphoma",0.3,0.0,0.2,0.3,1178,465036296
"Male","All","60-64 years","Myeloma",0.1,0.0,0.1,0.1,564,465036296
"Male","All","60-64 years","Leukemia",0.2,0.0,0.2,0.2,867,465036296
"Male","All","60-64 years","Mesothelioma",0.0,0.0,0.0,0.0,133,465036296
"Male","All","60-64 years","Kaposi Sarcoma",0.0,0.0,0.0,0.0,12,465036296
"Male","All","70-74 years","Lip",0.0,0.0,0.0,0.0,117,465036296
"Male","All","70-74 years","Tongue",0.1,0.0,0.1,0.1,322,465036296
"Male","All","70-74 years","Salivary Gland",0.0,0.0,0.0,0.0,121,465036296
"Male","All","70-74 years","Floor of Mouth",0.0,0.0,0.0,0.0,99,465036296
"Male","All","70-74 years","Gum and Other Mouth",0.0,0.0,0.0,0.0,168,465036296
"Male","All","70-74 years","Nasopharynx",0.0,0.0,0.0,0.0,58,465036296
"Male","All","70-74 years","Tonsil",0.0,0.0,0.0,0.0,125,465036296
"Male","All","70-74 years","Oropharynx",0.0,0.0,0.0,0.0,50,465036296
"Male","All","70-74 years","Hypopharynx",0.0,0.0,0.0,0.0,170,465036296
"Male","All","70-74 years","Other Oral Cavity and Pharynx",0.0,0.0,0.0,0.0,42,465036296
"Male","All","70-74 years","Esophagus",0.2,0.0,0.2,0.2,1026,465036296
"Male","All","70-74 years","Stomach",0.3,0.0,0.3,0.3,1357,465036296
"Male","All","70-74 years","Small Intestine",0.0,0.0,0.0,0.0,161,465036296
"Male","All","70-74 years","Colon and Rectum",1.2,0.0,1.1,1.2,5429,465036296
"Male","All","70-74 years","Anus, Anal Canal and Anorectum",0.0,0.0,0.0,0.0,87,465036296
"Male","All","70-74 years","Liver",0.2,0.0,0.2,0.2,930,465036296
"Male","All","70-74 years","Intrahepatic Bile Duct",0.0,0.0,0.0,0.0,120,465036296
"Male","All","70-74 years","Gallbladder",0.0,0.0,0.0,0.0,107,465036296
"Male","All","70-74 years","Other Biliary",0.1,0.0,0.0,0.1,247,465036296
"Male","All","70-74 years","Pancreas",0.4,0.0,0.3,0.4,1677,465036296
"Male","All","70-74 years","Retroperitoneum",0.0,0.0,0.0,0.0,43,465036296
"Male","All","70-74 years","Peritoneum, Omentum and Mesentery",0.0,0.0,0.0,0.0,8,465036296
"Male","All","70-74 years","Other Digestive Organs",0.0,0.0,0.0,0.0,69,465036296
"Male","All","70-74 years","Nose, Nasal Cavity and Middle Ear",0.0,0.0,0.0,0.0,56,465036296
"Male","All","70-74 years","Larynx",0.1,0.0,0.1,0.2,681,465036296
"Male","All","70-74 years","Lung and Bronchus",2.7,0.0,2.7,2.8,12708,465036296
