Age,Site,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
50-54,C00.0-External upper lip,7410465,8,1e-6,0,2e-6,1,1.3494429836724147e-7,0,0
50-54,C00.1-External lower lip,7410465,79,1.1000000000000001e-5,8e-6,1.3000000000000001e-5,16,2.1591087738758636e-6,0,0
50-54,"C00.2-External lip, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C00.3-Mucosa of upper lip,7410465,3,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C00.4-Mucosa of lower lip,7410465,23,3e-6,2e-6,5e-6,5,6.747214918362073e-7,0,0
50-54,"C00.5-Mucosa of lip, NOS",7410465,0,0,0,0,0,0,0,0
50-54,C00.6-Commissure of lip,7410465,3,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C00.8-Overlapping lesion of lip,7410465,1,0,0,1e-6,0,0,0,0
50-54,"C00.9-Lip, NOS",7410465,5,1e-6,0,2e-6,0,0,0,0
50-54,"C01.9-Base of tongue, NOS",7410465,406,5.5e-5,5e-5,6e-5,193,2.6044249584877603e-5,0,0
50-54,"C02.0-Dorsal surface of tongue, NOS",7410465,8,1e-6,0,2e-6,1,1.3494429836724147e-7,0,0
50-54,C02.1-Border of tongue,7410465,80,1.1000000000000001e-5,9e-6,1.3000000000000001e-5,38,5.127883337955176e-6,0,0
50-54,"C02.2-Ventral surface of tongue, NOS",7410465,34,5e-6,3e-6,6e-6,16,2.1591087738758636e-6,0,0
50-54,"C02.3-Anterior 2/3 of tongue, NOS",7410465,35,5e-6,3e-6,7e-6,19,2.563941668977588e-6,0,0
50-54,C02.4-Lingual tonsil,7410465,15,2e-6,1e-6,3e-6,6,8.096657902034488e-7,0,0
50-54,C02.8-Overlapping lesion of tongue,7410465,20,3e-6,2e-6,4e-6,9,1.2144986853051732e-6,0,0
50-54,"C02.9-Tongue, NOS",7410465,76,1e-5,8e-6,1.3000000000000001e-5,41,5.5327162330569e-6,0,0
50-54,C03.0-Upper gum,7410465,11,1e-6,1e-6,3e-6,5,6.747214918362073e-7,0,0
50-54,C03.1-Lower gum,7410465,22,3e-6,2e-6,4e-6,17,2.294053072243105e-6,0,0
50-54,"C03.9-Gum, NOS",7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C04.0-Anterior floor of mouth,7410465,59,8e-6,6e-6,1e-5,40,5.397771934689659e-6,0,0
50-54,C04.1-Lateral floor of mouth,7410465,20,3e-6,2e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,C04.8-Overlapping lesion of floor of mouth,7410465,5,1e-6,0,2e-6,3,4.048328951017244e-7,0,0
50-54,"C04.9-Floor of mouth, NOS",7410465,97,1.3000000000000001e-5,1.1000000000000001e-5,1.6e-5,51,6.882159216729314e-6,0,0
50-54,C05.0-Hard palate,7410465,19,3e-6,2e-6,4e-6,8,1.0795543869379318e-6,0,0
50-54,"C05.1-Soft palate, NOS",7410465,52,7e-6,5e-6,9e-6,33,4.453161846118968e-6,0,0
50-54,C05.2-Uvula,7410465,11,1e-6,1e-6,3e-6,4,5.397771934689659e-7,0,0
50-54,C05.8-Overlapping lesion of palate,7410465,8,1e-6,0,2e-6,5,6.747214918362073e-7,0,0
50-54,"C05.9-Palate, NOS",7410465,10,1e-6,1e-6,2e-6,2,2.6988859673448295e-7,0,0
50-54,C06.0-Cheek mucosa,7410465,27,4e-6,2e-6,5e-6,11,1.4843872820396561e-6,0,0
50-54,C06.1-Vestibule of mouth,7410465,2,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,C06.2-Retromolar area,7410465,34,5e-6,3e-6,6e-6,24,3.238663160813795e-6,0,0
50-54,C06.8-Overlapping lesion of other & unspecified mouth,7410465,1,0,0,1e-6,1,1.3494429836724147e-7,0,0
50-54,"C06.9-Mouth, NOS",7410465,17,2e-6,1e-6,4e-6,10,1.3494429836724147e-6,0,0
50-54,C07.9-Parotid gland,7410465,120,1.6e-5,1.3000000000000001e-5,1.8999999999999998e-5,44,5.9375491281586245e-6,0,0
50-54,C08.0-Submandibular gland,7410465,26,4e-6,2e-6,5e-6,10,1.3494429836724147e-6,0,0
50-54,C08.1-Sublingual gland,7410465,0,0,0,0,0,0,0,0
50-54,C08.8-Overlapping lesion of major salivary glands,7410465,0,0,0,0,0,0,0,0
50-54,"C08.9-Major salivary gland, NOS",7410465,7,1e-6,0,2e-6,3,4.048328951017244e-7,0,0
50-54,C09.0-Tonsillar fossa,7410465,98,1.3000000000000001e-5,1.1000000000000001e-5,1.6e-5,48,6.47732632162759e-6,0,0
50-54,C09.1-Tonsillar pillar,7410465,40,5e-6,4e-6,7e-6,17,2.294053072243105e-6,0,0
