Age,Site,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
50-54,Colon and Rectum,1548758.2,3621,233.99999999999997,226.00000000000009,241.49999999999997,1347,86.97290513134975,92.33107472812735,92.33107472812735
50-54,Liver and Intrahepatic Bile Duct,1548758.2,248,16,13.999999999999998,18,204,13.171843093389272,0,0
50-54,Pancreas,1548758.2,595,38.5,35.49999999999999,41.50000000000001,521,33.63985417478338,30.777024909375783,30.777024909375783
50-54,Lung and Bronchus,1548758.2,3803,245.50000000000003,238.00000000000003,253.50000000000003,2904,187.50506050589433,184.6621494562547,184.6621494562547
50-54,Breast,1548758.2,19243,1242.5,1225.0000000000002,1260,3901,251.87921523191935,246.21619927500626,246.21619927500626
50-54,Ovary,1548758.2,1769,114.00000000000001,109.00000000000003,119.49999999999999,983,63.47020470981203,61.554049818751565,61.554049818751565
60-64,Colon and Rectum,918696.2,4766,519,504,533.5,2050,223.1423184290955,207.53833399985763,207.53833399985763
60-64,Liver and Intrahepatic Bile Duct,918696.2,428,46.50000000000001,42.5,51.00000000000001,361,39.29481802580658,51.88458349996441,51.88458349996441
60-64,Pancreas,918696.2,1071,116.5,109.5,124,943,102.64546647738393,103.76916699992881,103.76916699992881
60-64,Lung and Bronchus,918696.2,7603,827.4999999999999,809.0000000000001,846.5000000000002,6171,671.7128034272919,674.4995854995374,674.4995854995374
60-64,Breast,918696.2,17403,1894.5,1866.5,1922.5,4308,468.92541843538703,466.9612514996797,466.9612514996797
60-64,Ovary,918696.2,1851,201.5,192.50000000000003,211.00000000000003,1262,137.36858822317978,155.65375049989322,155.65375049989322
70-74,Colon and Rectum,750127.4,7812,1041.5,1018.5,1065,4356,580.7013581959544,571.8968901815879,571.8968901815879
70-74,Liver and Intrahepatic Bile Duct,750127.4,648,86.49999999999999,80,93.5,593,79.0532381566118,63.54409890906532,63.54409890906532
70-74,Pancreas,750127.4,1953,260.5,248.99999999999997,272,1771,236.09322896350673,254.17639563626128,254.17639563626128
70-74,Lung and Bronchus,750127.4,11441,1524.9999999999998,1497.5,1553.4999999999998,9745,1299.112657396597,1270.8819781813063,1334.4260770903713
70-74,Breast,750127.4,16750,2233.0000000000005,2199.5,2266.9999999999995,6701,893.3149222385424,889.6173847269142,889.6173847269142
70-74,Ovary,750127.4,1909,254.49999999999994,243,266,1501,200.09934312491453,190.63229672719595,190.63229672719595
