Site,Sex,Race,Age,Population,Diagnosis.Count,Diagnosis.Rate,Diagnosis.Lower,Diagnosis.Upper,Death.Count,Death.Rate,Death.Lower,Death.Upper
"Anus, Anal Canal and Anorectum",Male,All,50-54,7410465,163,2.2000000000000003e-5,1.8999999999999998e-5,2.6000000000000002e-5,73,9.850933780808626e-6,0,0
"Anus, Anal Canal and Anorectum",Male,All,60-64,4183965,139,3.2999999999999996e-5,2.8e-5,3.9e-5,71,1.696954921946049e-5,0,0
"Anus, Anal Canal and Anorectum",Male,All,70-74,2964507,134,4.5e-5,3.7999999999999995e-5,5.4000000000000005e-5,87,2.934720680369451e-5,0,0
"Anus, Anal Canal and Anorectum",Male,Black,50-54,740813,17,2.2999999999999997e-5,1.3000000000000001e-5,3.7000000000000005e-5,10,1.3498683203453502e-5,0,0
"Anus, Anal Canal and Anorectum",Male,Black,60-64,390440,9,2.2999999999999997e-5,1.1000000000000001e-5,4.4000000000000006e-5,4,1.0244851961889151e-5,0,0
"Anus, Anal Canal and Anorectum",Male,Black,70-74,228946,11,4.8e-5,2.4e-5,8.599999999999999e-5,10,4.367842198597049e-5,0,0
"Anus, Anal Canal and Anorectum",Female,All,50-54,7743791,252,3.2999999999999996e-5,2.9e-5,3.7000000000000005e-5,84,1.084740019455587e-5,0,0
"Anus, Anal Canal and Anorectum",Female,All,60-64,4593481,180,3.9e-5,3.4e-5,4.5e-5,71,1.5456687422893445e-5,0,0
"Anus, Anal Canal and Anorectum",Female,All,70-74,3750637,208,5.5e-5,4.8e-5,6.4e-5,111,2.959497280062027e-5,0,0
"Anus, Anal Canal and Anorectum",Female,Black,50-54,862821,33,3.7999999999999995e-5,2.6000000000000002e-5,5.4000000000000005e-5,14,1.622584522166243e-5,0,0
"Anus, Anal Canal and Anorectum",Female,Black,60-64,482882,13,2.7000000000000002e-5,1.4e-5,4.599999999999999e-5,7,1.4496295161136675e-5,0,0
"Anus, Anal Canal and Anorectum",Female,Black,70-74,332818,11,3.2999999999999996e-5,1.6e-5,5.9000000000000004e-5,6,1.8027871088703135e-5,0,0
Bones and Joints,Male,All,50-54,7410465,51,7e-6,5e-6,9e-6,26,3.508551757548278e-6,0,0
Bones and Joints,Male,All,60-64,4183965,59,1.4e-5,1.1000000000000001e-5,1.8e-5,30,7.1702320645607695e-6,0,0
Bones and Joints,Male,All,70-74,2964507,69,2.2999999999999997e-5,1.8e-5,2.9e-5,45,1.5179589726048884e-5,0,0
Bones and Joints,Male,Black,50-54,740813,8,1.1000000000000001e-5,5e-6,2.1000000000000002e-5,3,4.049604961036051e-6,0,0
Bones and Joints,Male,Black,60-64,390440,7,1.8e-5,7e-6,3.7000000000000005e-5,2,5.122425980944576e-6,0,0
Bones and Joints,Male,Black,70-74,228946,6,2.6000000000000002e-5,1e-5,5.7e-5,4,1.7471368794388195e-5,0,0
Bones and Joints,Female,All,50-54,7743791,61,8e-6,6e-6,1e-5,22,2.8409857652408232e-6,0,0
Bones and Joints,Female,All,60-64,4593481,36,8e-6,5e-6,1.1000000000000001e-5,16,3.4831971657224663e-6,0,0
Bones and Joints,Female,All,70-74,3750637,41,1.1000000000000001e-5,8e-6,1.5e-5,28,7.465398544300608e-6,0,0
Bones and Joints,Female,Black,50-54,862821,2,2e-6,0,8e-6,1,1.1589889444044592e-6,0,0
Bones and Joints,Female,Black,60-64,482882,3,6e-6,1e-6,1.8e-5,2,4.141798617467622e-6,0,0
Bones and Joints,Female,Black,70-74,332818,2,6e-6,1e-6,2.2000000000000003e-5,1,3.0046451814505223e-6,0,0
Brain and Other Nervous System,Male,All,50-54,7410465,680,9.199999999999999e-5,8.5e-5,9.900000000000001e-5,532,7.179036673137246e-5,6.275399667902082e-5,6.275399667902082e-5
Brain and Other Nervous System,Male,All,60-64,4183965,674,1.61e-4,1.4900000000000002e-4,1.7399999999999997e-4,591,1.4125357167184716e-4,1.1114727202545911e-4,1.1114727202545911e-4
Brain and Other Nervous System,Male,All,70-74,2964507,755,2.55e-4,2.37e-4,2.74e-4,679,2.2904314275527094e-4,1.5686800402225394e-4,3.137360080445079e-4
Brain and Other Nervous System,Male,Black,50-54,740813,43,5.8e-5,4.2000000000000004e-5,7.8e-5,30,4.049604961036051e-5,0,6.910630078035887e-5
Brain and Other Nervous System,Male,Black,60-64,390440,39,1e-4,7.099999999999999e-5,1.37e-4,31,7.939760270464091e-5,0,1.3112090462042824e-4
Brain and Other Nervous System,Male,Black,70-74,228946,39,1.7e-4,1.21e-4,2.33e-4,27,1.1793173936212032e-4,0,2.2361100870947734e-4
Brain and Other Nervous System,Female,All,50-54,7743791,519,6.7e-5,6.1e-5,7.3e-5,379,4.894243659210328e-5,6.155404981875157e-5,6.155404981875157e-5
Brain and Other Nervous System,Female,All,60-64,4593481,490,1.07e-4,9.7e-5,1.17e-4,416,9.056312630878412e-5,1.0376916699992881e-4,1.0376916699992881e-4
Brain and Other Nervous System,Female,All,70-74,3750637,604,1.61e-4,1.4800000000000002e-4,1.7399999999999997e-4,547,1.4584189299044403e-4,1.2708819781813064e-4,1.2708819781813064e-4
Brain and Other Nervous System,Female,Black,50-54,862821,42,4.9000000000000005e-5,3.5e-5,6.599999999999999e-5,27,3.12927014989204e-5,0,6.421318326744482e-5
Brain and Other Nervous System,Female,Black,60-64,482882,30,6.2e-5,4.2000000000000004e-5,8.900000000000001e-5,19,3.9347086865942405e-5,0,1.1473710554545417e-4
Brain and Other Nervous System,Female,Black,70-74,332818,25,7.5e-5,4.9000000000000005e-5,1.11e-4,16,4.807432290320836e-5,0,0
Breast,Male,All,50-54,7410465,91,1.2e-5,1e-5,1.5e-5,26,3.508551757548278e-6,0,0
Breast,Male,All,60-64,4183965,123,2.9e-5,2.4e-5,3.5e-5,46,1.0994355832326513e-5,0,0
Breast,Male,All,70-74,2964507,161,5.4000000000000005e-5,4.599999999999999e-5,6.3e-5,78,2.631128885848473e-5,0,0
Breast,Male,Black,50-54,740813,11,1.5e-5,7e-6,2.7000000000000002e-5,5,6.749341601726751e-6,0,0
Breast,Male,Black,60-64,390440,21,5.4000000000000005e-5,3.2999999999999996e-5,8.199999999999999e-5,10,2.5612129904722878e-5,0,0
Breast,Male,Black,70-74,228946,14,6.1e-5,3.2999999999999996e-5,1.0300000000000001e-4,9,3.931057978737344e-5,0,0
Breast,Female,All,50-54,7743791,19243,0.002485,0.00245,0.00252,3891,5.024670732978201e-4,4.924323985500125e-4,4.924323985500125e-4
Breast,Female,All,60-64,4593481,17403,0.003789,0.003733,0.003845,4274,9.304490428936138e-4,9.339225029993594e-4,9.339225029993594e-4
Breast,Female,All,70-74,3750637,16750,0.004466,0.004399,0.004534,6638,0.0017698326977524084,0.0017792347694538288,0.0017792347694538288
Breast,Female,Black,50-54,862821,2077,0.002407,0.002305,0.002513,630,7.301630349748093e-4,7.06345015941893e-4,7.705581992093377e-4
Breast,Female,Black,60-64,482882,1519,0.0031460000000000004,0.002989,0.003308,500,0.0010354496543669054,9.178968443636333e-4,0.001147371055454542
Breast,Female,Black,70-74,332818,1285,0.0038610000000000003,0.003653,0.004078,557,0.001673587366067941,0.0014982373158903665,0.0018311789416437815
Cervix Uteri,Male,All,50-54,7410465,0,0,0,0,0,0,0,0
Cervix Uteri,Male,All,60-64,4183965,0,0,0,1e-6,0,0,0,0
Cervix Uteri,Male,All,70-74,2964507,0,0,0,1e-6,0,0,0,0
Cervix Uteri,Male,Black,50-54,740813,0,0,0,5e-6,0,0,0,0
Cervix Uteri,Male,Black,60-64,390440,0,0,0,9e-6,0,0,0,0
Cervix Uteri,Male,Black,70-74,228946,0,0,0,1.6e-5,0,0,0,0
Cervix Uteri,Female,All,50-54,7743791,1165,1.5e-4,1.4199999999999998e-4,1.5900000000000002e-4,448,5.785280103763131e-5,6.155404981875157e-5,6.155404981875157e-5
Cervix Uteri,Female,All,60-64,4593481,726,1.5800000000000002e-4,1.47e-4,1.7e-4,329,7.162324172016822e-5,1.0376916699992881e-4,1.0376916699992881e-4
Cervix Uteri,Female,All,70-74,3750637,523,1.39e-4,1.28e-4,1.5199999999999998e-4,310,8.265262674047103e-5,1.2708819781813064e-4,1.2708819781813064e-4
Cervix Uteri,Female,Black,50-54,862821,151,1.75e-4,1.4800000000000002e-4,2.05e-4,63,7.301630349748094e-5,6.421318326744482e-5,6.421318326744482e-5
Cervix Uteri,Female,Black,60-64,482882,133,2.75e-4,2.31e-4,3.26e-4,55,1.138994619803596e-4,1.1473710554545417e-4,1.1473710554545417e-4
Cervix Uteri,Female,Black,70-74,332818,90,2.7e-4,2.17e-4,3.3200000000000005e-4,54,1.6225083979832822e-4,1.6647081287670738e-4,1.6647081287670738e-4
Colon and Rectum,Male,All,50-54,7410465,4482,6.05e-4,5.870000000000001e-4,6.23e-4,1792,2.418201826740967e-4,2.510159867160833e-4,2.510159867160833e-4
Colon and Rectum,Male,All,60-64,4183965,6600,0.0015769999999999998,0.00154,0.001616,3116,7.447481037723785e-4,6.668836321527546e-4,7.780309041782137e-4
Colon and Rectum,Male,All,70-74,2964507,9139,0.0030830000000000002,0.00302,0.003147,5429,0.0018313331693937643,0.0017255480442447937,0.0018824160482670475
Colon and Rectum,Male,Black,50-54,740813,600,8.1e-4,7.459999999999999e-4,8.770000000000001e-4,267,3.6041484153220854e-4,3.455315039017944e-4,4.146378046821533e-4
Colon and Rectum,Male,Black,60-64,390440,802,0.0020540000000000003,0.0019140000000000001,0.002201,400,0.001024485196188915,9.178463323429977e-4,0.0011800881415838542
Colon and Rectum,Male,Black,70-74,228946,763,0.003333,0.0031,0.003578,453,0.001978632515964463,0.0017888880696758187,0.0022361100870947736
Colon and Rectum,Female,All,50-54,7743791,3621,4.68e-4,4.5200000000000004e-4,4.83e-4,1338,1.727835888132828e-4,1.846621494562547e-4,1.846621494562547e-4
Colon and Rectum,Female,All,60-64,4593481,4766,0.001038,0.001008,0.001067,2037,4.4345453916104147e-4,4.1507666799971523e-4,4.1507666799971523e-4
Colon and Rectum,Female,All,70-74,3750637,7812,0.0020830000000000002,0.0020369999999999997,0.00213,4310,0.0011491381330691294,0.0011437937803631757,0.0011437937803631757
Colon and Rectum,Female,Black,50-54,862821,609,7.059999999999999e-4,6.51e-4,7.64e-4,235,2.7236240193504797e-4,2.5685273306977926e-4,3.210659163372241e-4
Colon and Rectum,Female,Black,60-64,482882,713,0.0014769999999999998,0.00137,0.0015890000000000001,325,6.730422753384884e-4,5.73685527727271e-4,8.031597388181792e-4
Colon and Rectum,Female,Black,70-74,332818,821,0.002467,0.002301,0.002641,460,0.0013821367834672403,0.001331766503013659,0.0014982373158903665
Corpus Uteri,Male,All,50-54,7410465,0,0,0,0,0,0,0,0
Corpus Uteri,Male,All,60-64,4183965,0,0,0,1e-6,0,0,0,0
Corpus Uteri,Male,All,70-74,2964507,0,0,0,1e-6,0,0,0,0
Corpus Uteri,Male,Black,50-54,740813,0,0,0,5e-6,0,0,0,0
Corpus Uteri,Male,Black,60-64,390440,0,0,0,9e-6,0,0,0,0
Corpus Uteri,Male,Black,70-74,228946,0,0,0,1.6e-5,0,0,0,0
Corpus Uteri,Female,All,50-54,7743791,3186,4.11e-4,3.9700000000000005e-4,4.26e-4,569,7.347822274645583e-5,6.155404981875157e-5,6.155404981875157e-5
Corpus Uteri,Female,All,60-64,4593481,3727,8.11e-4,7.859999999999999e-4,8.38e-4,990,2.155228246290776e-4,2.0753833399985761e-4,2.0753833399985761e-4
Corpus Uteri,Female,All,70-74,3750637,3232,8.62e-4,8.320000000000001e-4,8.92e-4,1471,3.922000449523641e-4,3.812645934543919e-4,3.812645934543919e-4
Corpus Uteri,Female,Black,50-54,862821,193,2.24e-4,1.93e-4,2.58e-4,64,7.417529244188539e-5,6.421318326744482e-5,6.421318326744482e-5
Corpus Uteri,Female,Black,60-64,482882,341,7.059999999999999e-4,6.33e-4,7.85e-4,148,3.06493097692604e-4,2.2947421109090834e-4,3.442113166363625e-4
Corpus Uteri,Female,Black,70-74,332818,284,8.53e-4,7.570000000000001e-4,9.590000000000001e-4,165,4.957664549393362e-4,4.994124386301222e-4,4.994124386301222e-4
Esophagus,Male,All,50-54,7410465,731,9.900000000000001e-5,9.199999999999999e-5,1.06e-4,571,7.705319436769488e-5,6.275399667902082e-5,6.275399667902082e-5
Esophagus,Male,All,60-64,4183965,997,2.38e-4,2.24e-4,2.54e-4,798,1.9072817291731646e-4,2.2229454405091822e-4,2.2229454405091822e-4
Esophagus,Male,All,70-74,2964507,1199,4.04e-4,3.82e-4,4.28e-4,1026,3.4609464575391456e-4,3.137360080445079e-4,3.137360080445079e-4
Esophagus,Male,Black,50-54,740813,145,1.9600000000000002e-4,1.65e-4,2.3e-4,109,1.4713564691764319e-4,1.3821260156071774e-4,2.0731890234107665e-4
Esophagus,Male,Black,60-64,390440,175,4.48e-4,3.84e-4,5.2e-4,134,3.4320254072328654e-4,2.622418092408565e-4,3.933627138612847e-4
Esophagus,Male,Black,70-74,228946,141,6.16e-4,5.18e-4,7.26e-4,116,5.066696950372577e-4,4.472220174189547e-4,6.708330261284321e-4
Esophagus,Female,All,50-54,7743791,116,1.5e-5,1.2e-5,1.8e-5,89,1.149307877756515e-5,0,0
Esophagus,Female,All,60-64,4593481,251,5.5e-5,4.8e-5,6.2e-5,196,4.2669165280100215e-5,0,0
Esophagus,Female,All,70-74,3750637,402,1.07e-4,9.7e-5,1.1800000000000001e-4,342,9.118451079110028e-5,1.2708819781813064e-4,1.2708819781813064e-4
Esophagus,Female,Black,50-54,862821,35,4.0999999999999994e-5,2.8e-5,5.6e-5,27,3.12927014989204e-5,0,6.421318326744482e-5
Esophagus,Female,Black,60-64,482882,56,1.16e-4,8.800000000000001e-5,1.5099999999999998e-4,45,9.319046889302148e-5,1.1473710554545417e-4,1.1473710554545417e-4
Esophagus,Female,Black,70-74,332818,63,1.8899999999999999e-4,1.45e-4,2.42e-4,49,1.472276138910756e-4,1.6647081287670738e-4,1.6647081287670738e-4
Eye and Orbit,Male,All,50-54,7410465,102,1.4e-5,1.1000000000000001e-5,1.7e-5,37,4.992939039587934e-6,0,0
